date,lineage,count
30/10/2021,XBB,0
30/10/2021,BA.5.3,0
06/11/2021,A,0
06/11/2021,B,0
06/11/2021,B.1.1.7,0
06/11/2021,B.1.617.2,30114
06/11/2021,B.1.1.529,0
06/11/2021,BA.2,0
06/11/2021,BA.4,0
06/11/2021,BA.5,0
06/11/2021,BA.1,2
06/11/2021,BA.2.75,0
06/11/2021,XBB,0
06/11/2021,BA.5.3,0
13/11/2021,A,0
13/11/2021,B,1
13/11/2021,B.1.1.7,0
13/11/2021,B.1.617.2,37013
13/11/2021,B.1.1.529,0
13/11/2021,BA.2,0
13/11/2021,BA.4,0
13/11/2021,BA.5,0
13/11/2021,BA.1,0
13/11/2021,BA.2.75,0
13/11/2021,XBB,0
13/11/2021,BA.5.3,0
20/11/2021,A,0
20/11/2021,B,0
20/11/2021,B.1.1.7,0
20/11/2021,B.1.617.2,39035
20/11/2021,B.1.1.529,0
20/11/2021,BA.2,0
20/11/2021,BA.4,0
20/11/2021,BA.5,0
20/11/2021,BA.1,3
20/11/2021,BA.2.75,0
20/11/2021,XBB,0
20/11/2021,BA.5.3,0
27/11/2021,A,0
27/11/2021,B,1
27/11/2021,B.1.1.7,0
27/11/2021,B.1.617.2,42478
27/11/2021,B.1.1.529,0
27/11/2021,BA.2,0
27/11/2021,BA.4,0
27/11/2021,BA.5,0
27/11/2021,BA.1,19
27/11/2021,BA.2.75,0
27/11/2021,XBB,0
27/11/2021,BA.5.3,0
04/12/2021,A,0
04/12/2021,B,1
04/12/2021,B.1.1.7,0
04/12/2021,B.1.617.2,47485
04/12/2021,B.1.1.529,0
04/12/2021,BA.2,0
04/12/2021,BA.4,0
04/12/2021,BA.5,0
04/12/2021,BA.1,353
04/12/2021,BA.2.75,0
04/12/2021,XBB,0
04/12/2021,BA.5.3,0
11/12/2021,A,0
11/12/2021,B,2
11/12/2021,B.1.1.7,0
11/12/2021,B.1.617.2,41771
11/12/2021,B.1.1.529,3
11/12/2021,BA.2,2
11/12/2021,BA.4,0
11/12/2021,BA.5,0
11/12/2021,BA.1,5778
11/12/2021,BA.2.75,0
11/12/2021,XBB,0
11/12/2021,BA.5.3,0
18/12/2021,A,0
18/12/2021,B,3
18/12/2021,B.1.1.7,0
18/12/2021,B.1.617.2,19978
18/12/2021,B.1.1.529,8
18/12/2021,BA.2,0
18/12/2021,BA.4,0
18/12/2021,BA.5,0
18/12/2021,BA.1,29108
18/12/2021,BA.2.75,0
18/12/2021,XBB,0
18/12/2021,BA.5.3,1
25/12/2021,A,0
25/12/2021,B,0
25/12/2021,B.1.1.7,0
25/12/2021,B.1.617.2,4365
25/12/2021,B.1.1.529,4
25/12/2021,BA.2,1
25/12/2021,BA.4,0
25/12/2021,BA.5,0
25/12/2021,BA.1,20663
25/12/2021,BA.2.75,0
25/12/2021,XBB,0
25/12/2021,BA.5.3,0
01/01/2022,A,0
01/01/2022,B,0
01/01/2022,B.1.1.7,0
01/01/2022,B.1.617.2,1581
01/01/2022,B.1.1.529,2
01/01/2022,BA.2,8
01/01/2022,BA.4,0
01/01/2022,BA.5,1
01/01/2022,BA.1,35087
01/01/2022,BA.2.75,0
01/01/2022,XBB,0
01/01/2022,BA.5.3,0
08/01/2022,A,0
08/01/2022,B,1
08/01/2022,B.1.1.7,0
08/01/2022,B.1.617.2,763
08/01/2022,B.1.1.529,6
08/01/2022,BA.2,83
08/01/2022,BA.4,0
08/01/2022,BA.5,0
08/01/2022,BA.1,43681
08/01/2022,BA.2.75,0
08/01/2022,XBB,0
08/01/2022,BA.5.3,0
15/01/2022,A,0
15/01/2022,B,1
15/01/2022,B.1.1.7,0
15/01/2022,B.1.617.2,284
15/01/2022,B.1.1.529,0
15/01/2022,BA.2,305
15/01/2022,BA.4,0
15/01/2022,BA.5,1
15/01/2022,BA.1,36637
15/01/2022,BA.2.75,0
15/01/2022,XBB,0
15/01/2022,BA.5.3,0
22/01/2022,A,0
22/01/2022,B,0
22/01/2022,B.1.1.7,0
22/01/2022,B.1.617.2,114
22/01/2022,B.1.1.529,0
22/01/2022,BA.2,1214
22/01/2022,BA.4,1
22/01/2022,BA.5,0
22/01/2022,BA.1,41775
22/01/2022,BA.2.75,0
22/01/2022,XBB,0
22/01/2022,BA.5.3,0
29/01/2022,A,0
29/01/2022,B,0
29/01/2022,B.1.1.7,0
29/01/2022,B.1.617.2,39
29/01/2022,B.1.1.529,3
29/01/2022,BA.2,2515
29/01/2022,BA.4,0
29/01/2022,BA.5,1
29/01/2022,BA.1,35120
29/01/2022,BA.2.75,0
29/01/2022,XBB,0
29/01/2022,BA.5.3,0
05/02/2022,A,0
05/02/2022,B,1
05/02/2022,B.1.1.7,0
05/02/2022,B.1.617.2,20
05/02/2022,B.1.1.529,5
05/02/2022,BA.2,5931
05/02/2022,BA.4,0
05/02/2022,BA.5,0
05/02/2022,BA.1,35942
05/02/2022,BA.2.75,0
05/02/2022,XBB,0
05/02/2022,BA.5.3,0
12/02/2022,A,0
12/02/2022,B,0
12/02/2022,B.1.1.7,0
12/02/2022,B.1.617.2,14
12/02/2022,B.1.1.529,5
12/02/2022,BA.2,9404
12/02/2022,BA.4,0
12/02/2022,BA.5,0
12/02/2022,BA.1,28632
12/02/2022,BA.2.75,0
12/02/2022,XBB,0
12/02/2022,BA.5.3,0
19/02/2022,A,0
19/02/2022,B,0
19/02/2022,B.1.1.7,0
19/02/2022,B.1.617.2,14
19/02/2022,B.1.1.529,7
19/02/2022,BA.2,15250
19/02/2022,BA.4,0
19/02/2022,BA.5,0
19/02/2022,BA.1,21227
19/02/2022,BA.2.75,0
19/02/2022,XBB,0
19/02/2022,BA.5.3,0
26/02/2022,A,0
26/02/2022,B,0
26/02/2022,B.1.1.7,0
26/02/2022,B.1.617.2,5
26/02/2022,B.1.1.529,7
26/02/2022,BA.2,16606
26/02/2022,BA.4,0
26/02/2022,BA.5,0
26/02/2022,BA.1,11737
26/02/2022,BA.2.75,0
26/02/2022,XBB,0
26/02/2022,BA.5.3,0
05/03/2022,A,0
05/03/2022,B,0
05/03/2022,B.1.1.7,0
05/03/2022,B.1.617.2,0
05/03/2022,B.1.1.529,17
05/03/2022,BA.2,23972
05/03/2022,BA.4,0
05/03/2022,BA.5,0
05/03/2022,BA.1,7659
05/03/2022,BA.2.75,0
05/03/2022,XBB,0
05/03/2022,BA.5.3,0
12/03/2022,A,0
12/03/2022,B,0
12/03/2022,B.1.1.7,0
12/03/2022,B.1.617.2,6
12/03/2022,B.1.1.529,46
12/03/2022,BA.2,35159
12/03/2022,BA.4,0
